recipient,amount PPT owed (18 decimals),amount deposited of USD,amountPPT
0x09D3B9dE3d0036d78a895D115bBfE279C1bBb9eA,"4,070,000,000,000,000,000,000.00",$814.00,"4,070.00"
0x6655c0eBA3fcc6a90960f0EC9752eA2EAb0E6318,"2,820,000,000,000,000,000,000.00",$564.00,"2,820.00"
0x3bDA755B5f4779a439BEEab4A3999038a477c681,"5,155,000,000,000,000,000,000.00","$1,031.00","5,155.00"
0x5b620F23b03186B3f09F333044DCD9ad2c5117fd,"2,115,000,000,000,000,000,000.00",$423.00,"2,115.00"
0xabE52e27F81c9841a1Da35929EC1A3A2C59AE33d,"3,300,000,000,000,000,000,000.00",$660.00,"3,300.00"
0x04181151857c219F581B1dA8d7437209646EF5D6,"6,995,000,000,000,000,000,000.00","$1,399.00","6,995.00"
0xdA34733377f5b70d55131cfCB3726654171A9059,"5,625,000,000,000,000,000,000.00","$1,125.00","5,625.00"
0x6Cd3e39643Bc48Cb51d4F1a349c0F6fBCe54beF6,"515,000,000,000,000,000,000.00",$103.00,515.00
0x55c9DEF2Eb1B373081B9008418d17Bc9b8C13ad5,"3,145,000,000,000,000,000,000.00",$629.00,"3,145.00"
0x5787c3fD3C47043cec7A6d1aCA637f93B48D9f15,"710,000,000,000,000,000,000.00",$142.00,710.00
0x3934845367aC0502038F89a3d49358E7A9F65fe8,"675,000,000,000,000,000,000.00",$135.00,675.00
0x9bb5B3db3b699F6a2C95a31A1628A755fc593799,"780,000,000,000,000,000,000.00",$156.00,780.00
0x36249F36EDb4AB9b556822152565Df4617A98b5c,"585,000,000,000,000,000,000.00",$117.00,585.00
0x34a32193A73334f993cF5D20E937f2225447f735,"485,000,000,000,000,000,000.00",$97.00,485.00
0x4D2f4954a30c0BB80620106769adb071e3D99514,"490,000,000,000,000,000,000.00",$98.00,490.00
0xCB4a517D2AEffe28075A792E9788e07B2810B1D9,"1,080,000,000,000,000,000,000.00",$216.00,"1,080.00"
0x31CA4E0b2c5C67071EbCFF8fcD50B749960D52c8,"415,000,000,000,000,000,000.00",$83.00,415.00
0xB600FE7B0Cd310EAd3dCd96e157D19B21b5b4E57,"1,865,000,000,000,000,000,000.00",$373.00,"1,865.00"
0x9e78Bc9d059AbDc9D03a6335c4E9eBdBcff7A859,"1,535,000,000,000,000,000,000.00",$307.00,"1,535.00"
0xd7dB5dC84b423ec97A883a5690C26DE3D121B447,"1,085,000,000,000,000,000,000.00",$217.00,"1,085.00"
0x215ddfc211183421ec785bb93cd27f1feafcce5f,"300,000,000,000,000,000,000.00",$60.00,300.00
0xccedc483C4f46FB86c3fD70AF29CD4eE25Ca9BB0,"1,425,000,000,000,000,000,000.00",$285.00,"1,425.00"
0xC1fa3b3ed71e72358125844b03C94519cdE71eae,"910,000,000,000,000,000,000.00",$182.00,910.00
0x158FbcFf37f2BF6ceCCC6c5F1e95f0B25314A381,"2,595,000,000,000,000,000,000.00",$519.00,"2,595.00"
0xA355394037Bf096ba15f5149C38D3437CC4e7488,"910,000,000,000,000,000,000.00",$182.00,910.00
0x4c52B6C0a1b1277bFd2C968Aa0b35D66cC86e037,"645,000,000,000,000,000,000.00",$129.00,645.00
0x2019BeE0C753F7A99b46719dC2b80699cD0d1d24,"610,000,000,000,000,000,000.00",$122.00,610.00
0x61D5f921c2912C83641BD4E094c462af17A8f7c3,"2,860,000,000,000,000,000,000.00",$572.00,"2,860.00"
0x4fA6b2504858Cb74b2B7BE84E4a17CcFc34cA247,"2,665,000,000,000,000,000,000.00",$533.00,"2,665.00"
0x879B0cE8731D5B7db928e22842060d1d2ca89c2c,"1,930,000,000,000,000,000,000.00",$386.00,"1,930.00"
0x6F5A78aF8EadA3a437899B4c85B1Bc48eFD6b6a9,"2,685,000,000,000,000,000,000.00",$537.00,"2,685.00"
0x17d94BeD853B43F5Bc7F460Baeb8E010885B0FaA,"2,590,000,000,000,000,000,000.00",$518.00,"2,590.00"
0xe1350F4924A5fcD55550EC6f503683cBe1d46230,"2,640,000,000,000,000,000,000.00",$528.00,"2,640.00"
0x9cb0F49081BeA4fDe9b5B0B09317991AF38368Fd,"1,065,000,000,000,000,000,000.00",$213.00,"1,065.00"
0xc0B3aaa8551f87E8c3636dd819eAbaC66f421418,"1,015,000,000,000,000,000,000.00",$203.00,"1,015.00"
0x2E0c166b9D698D724C9c0aD1FD333BD6B1D4813F,"2,595,000,000,000,000,000,000.00",$519.00,"2,595.00"
0xacb88aeEFfEc1E0E4f65FD1de4347dB5e32038A0,"1,660,000,000,000,000,000,000.00",$332.00,"1,660.00"
0x1BFA97D7a7B0F168bC05d03DEcf8203DCAb53BEC,"2,895,000,000,000,000,000,000.00",$579.00,"2,895.00"
0x3b10a9ab071d16646398c16d6d52009e637f24ed,"845,000,000,000,000,000,000.00",$169.00,845.00
0xE735C0BA61DdC7E05601a6f5b5cD2EFE2E78D82D,"1,170,000,000,000,000,000,000.00",$234.00,"1,170.00"
0x633b553ea08809a4c8d4e741a7d82c34b3b99476,"285,000,000,000,000,000,000.00",$57.00,285.00
0xbcf4f4ecf7feb3ede1b6449796cba301adc69934,"280,000,000,000,000,000,000.00",$56.00,280.00
0x42bb0504ae7a43c5b987cbcfd13d0a10d30c8053,"1,000,000,000,000,000,000,000.00",$200.00,"1,000.00"
0x1FF2cBC6C285403D5EF1B971D3CBb91CF0996Ee9,"645,000,000,000,000,000,000.00",$129.00,645.00
0x8F999139e4DB97AbFc16BC7bF6b6E1B6413D9c91,"820,000,000,000,000,000,000.00",$164.00,820.00
0x5A72f7A7F4c3A03446D7420684331a18Bf55f079,"690,000,000,000,000,000,000.00",$138.00,690.00
0xA470DdF1567132cD66C67eA9E4aa6f4fADaA3465,"880,000,000,000,000,000,000.00",$176.00,880.00
0x009093A305629b49D1cF41282280F7f67EdE8537,"730,000,000,000,000,000,000.00",$146.00,730.00
0x90Cdd255b5aEbc6e50C71E3c5069B8A0fe420ECA,"2,685,000,000,000,000,000,000.00",$537.00,"2,685.00"
0xa3b6d9B40DedDaDC0B0A061C25820aa14D9706A2,"1,800,000,000,000,000,000,000.00",$360.00,"1,800.00"
0x862AC2546Fb7D21f05D2780C65eeBfe5aE21e29D,"1,630,000,000,000,000,000,000.00",$326.00,"1,630.00"
0xEAa8A1b4F714Ad26731a49F49EBb40BC4584a451,"2,950,000,000,000,000,000,000.00",$590.00,"2,950.00"
0x1F27ea98e0275f9316f83940FF04A3752119dbd9,"1,495,000,000,000,000,000,000.00",$299.00,"1,495.00"
0x70E93A533bfe2F2d357E85f0b7d1BAD611a40C62,"1,830,000,000,000,000,000,000.00",$366.00,"1,830.00"
0x806eb4253261F34e03fb552C04c9D66912F6753d,"745,000,000,000,000,000,000.00",$149.00,745.00
0x8Ab1dD89e425Ce40fc1e5bF232836B6113579B8A,"2,565,000,000,000,000,000,000.00",$513.00,"2,565.00"
0x1E7Ec8D35e62390F777DbC5ae405410047A24507,"2,640,000,000,000,000,000,000.00",$528.00,"2,640.00"
0x77EB64c3E2EE7e2399C0d97A2018E96B782D7b2F,"2,830,000,000,000,000,000,000.00",$566.00,"2,830.00"
0xC00952e4Cc4c94A4B066EF6679C50083EeFB0352,"3,000,000,000,000,000,000,000.00",$600.00,"3,000.00"
0x24FD4bF7C5C1e36CEd32F6Ec10be070b3FE6Cbb0,"975,000,000,000,000,000,000.00",$195.00,975.00
0xD35B54bCc6d2C8d53d6F9C6bD8901E5a18b296d7,"3,120,000,000,000,000,000,000.00",$624.00,"3,120.00"
0x28C20BD8DA46BE2d103Ae1cc2f7aBB262eE33187,"2,580,000,000,000,000,000,000.00",$516.00,"2,580.00"
0x17f6594F054787d5283B7608B9d4122Bf38B73B3,"2,425,000,000,000,000,000,000.00",$485.00,"2,425.00"
0x10f0A14431856EC12374B3b4ec1222D71ddDD265,"735,000,000,000,000,000,000.00",$147.00,735.00
