recipient,amount
0xa038fec2130e462226ea3a60c550d770044fcffd,440000000000000000000
0x31dc797452d2f0d0ee9e29fc10aff3b10aee7ec5,1295000000000000000000
0x3b47601203fb7ac8437a0e5d1fa2a68dbeb558a2,1605000000000000000000
0xc79e9457b743f035ecd495389b3c8d6133525413,705000000000000000000
0xb68e952d56736efea628a27d83eace83abfb6d25,1110000000000000000000
0x197b98521cc1ab6eb55f8084dfedaa1acca04698,3100000000000000000000
0x9b35d656f1164d5e56d69060944b21c11073fe23,2140000000000000000000
0xb793594a0298c136d9dd6ff6d3bd2faad8738064,2495000000000000000000
0xa48edc170caa3fb55c35fbaca0debe401d411cf8,3040000000000000000000
0x341bf58f29aaea6cc02819b7b3015e45c5b46d75,1830000000000000000000
0x372c4d7408a622fd986880c3f0259e6babdae323,4890000000000000000000
0xbd7795d6ca7f094d6f09dabe22dcace9bf808dac,6105000000000000000000
0x0d79b15eeac2b6cfdf19a1e1c6119531698d465d,2695000000000000000000
0xbfed411de6e644675655a430fae1f45b128bcafb,2275000000000000000000
0x1a297b03dc9b47063c1cea0bf89d1310c582771f,1805000000000000000000
0x74f4242124dd951c9aeeb2d40344ee2fd8974179,4325000000000000000000
0xf19ec5ad7ffabdde894bb18e4336cac4f67f4c24,2000000000000000000000
0xb364773c0953c67ad92958bf9b500359e7f11a23,5665000000000000000000
0xdc76d613f140d3fe043ae0580c7b33e608ad8a6f,6595000000000000000000
0x742d283be112fd5b0b8ca0bda0a7ac6e1605eba4,5200000000000000000000
0x1ccc302e5d589aa6e6d831e10c59bf09252d7822,4695000000000000000000
0x68c82136e1a5b44444d2d96ca0b68e20feec7f81,3790000000000000000000
0x2a0a4a0c7e863ef7b0b91b07a70a31dd5dbb4fd8,4475000000000000000000
0xc812529ea87d83ecf9f900d26f85b2bb43542300,2520000000000000000000
0x108defdc8e254466b7002bede42aabb197b8e033,0
0x7be60a7bf740fc21df32de0db62ae6703ee63b09,4025000000000000000000
0xaf2a5cca3479a796767707d69433b39c61877e25,6330000000000000000000
0x8f97087ca00989cd490086801207686a4db7ec64,2025000000000000000000
0x2cf562752755b200b9c2daaa924b9d0d0241c6c6,1610000000000000000000
0xec689980eccb78ed6538592e82c94755b3f053f9,3430000000000000000000
0x37470371d4a3bff989b960f009c7372df6ab931b,7245000000000000000000
0x16a22d0444e0aab598522f2242bec7d95f1b1388,4580000000000000000000
0x1cf892190fc7115acf416b6ddc6540c17ada1138,6210000000000000000000
0x15470fa1227f7db4261d9080aa5756a1ee8a7941,3010000000000000000000
0x501bf3c6ba9156307949a8858af5bd19dc3f16ce,3130000000000000000000
0xc0e2c72ba6876255bf0631d32aac3cf077827f3a,3810000000000000000000
0xcfd3b572a3cc79299c0d2937b25f0952c2583a06,7495000000000000000000
0x92c11e2a6712ceb2c1c66c8fc23dd934b75fee6c,1300000000000000000000
0xb88a3ae5dafb014a6ac213c245db65b4c874b57d,6510000000000000000000
0xd6bf8e0917cb05e5b2791a31a06add0352277b16,440000000000000000000
0x8c97b2df605b6edc10e14d0661d11c7fdd4c91b7,6530000000000000000000
0x1a1bd9fc758f09af8b3c53870c75778bcdf1510d,4865000000000000000000
0x5104070df8a8936e31b87a40755bf4d7384cb9c7,1900000000000000000000
0xcb99b282c79dd098234207ce6bdb7ea87759974b,5935000000000000000000
0x6544f8cee6b3c4ed714ae6bfe8f502c775647f85,4070000000000000000000
0xe5bf6ee0e31ee928e269c6912caf044a284c9964,2820000000000000000000
0x0e5fb9041da8591e2d9c006da0728edc36f3f7b4,5155000000000000000000
0x2819665af882399cccad9f36812d78bd94749e96,2115000000000000000000
0x076ab6d4f25750927c36fdba47694eb4ac2daf58,3300000000000000000000
0xc19573b97795f4f04dab9166c0b07bf6d5383102,6995000000000000000000
0x2e217dcf5734f2d50b25c7059187c7dd7d6d1a62,5625000000000000000000
0xc5c1bc8a7789f0a1334e73cdd7258bd2d284a5a5,515000000000000000000
0xa36a456393def6c7868b7b8a075bc60ef5178db3,3145000000000000000000
0x18f018622075bab7ffa2cb0728619ec2d14056e8,710000000000000000000
0xd234b49789d6a82c23d8834fdd8b2dbf8f5de3d0,675000000000000000000
0x17fcc9bb7dd8c71a5d104ad4ec1bf90aa1c621b7,780000000000000000000
0x85b65e2028705a0276c513d7e9a7572f6961a100,585000000000000000000
0xaccfe18aadf4408da397665b4872c3a2644ef61b,485000000000000000000
0x94c8758b6ab22bf728bd9f1c0924973b3124d5ca,490000000000000000000
0x977dce2924501a2a53a0fd610dc7a27bd39ad743,1080000000000000000000
0x4096d64a3ff1e57d3c1f551ee1cfa8fa6a98bb99,415000000000000000000
0x9bdccb441d3cce0f50279d52062a1421e200846b,1865000000000000000000
0x1a3d333250bbc19c011eb7dc5d9addd6412a1ee4,1535000000000000000000
0x09f873a9fbef90e34a8be6d9d0acd281b692d24a,1085000000000000000000
0x215ddfc211183421ec785bb93cd27f1feafcce5f,300000000000000000000
0xc4b009d2ae3281965d6222fb8b2b19924185d8fd,1425000000000000000000
0x8ad112d9b593901d8bf766f91917d00169353c09,910000000000000000000
0xa05771a43c9ec9049874cea7f78081ef6daf1b91,2595000000000000000000
0x56a791001f6c39634701859364142d9af6fe704a,910000000000000000000
0x0cb8af3059a0c3a816152df157774df2eaf4a00c,645000000000000000000
0xc4d5c8ccc2d325e91aee5688959d64e3856271ca,610000000000000000000
0x9b06c2a5dba5c86c793e55e3b3608e04b3d61e5e,2860000000000000000000
0xae45e9081b86d106c1e00a4b2c254b18c3980225,2665000000000000000000
0x13139a21d93cb1deffa3ad7d273d24acdedd99ba,1930000000000000000000
0xd314f9d324e0d9a2667c8f57704d14a20534b330,2685000000000000000000
0x6f4942691236959f7a156b139552c842022d0e35,2590000000000000000000
0xd9e512dc230981903b4f2462e7e383f6def44738,2640000000000000000000
0xaa09922eb4af4292d3be8302105708a7c17384d8,1065000000000000000000
0xf20d9f85d44b08474492b1b76fca55ab25ddc4c2,1015000000000000000000
0x64a2d86b2ca75a551fe00caf7d4fc27f982ef745,2595000000000000000000
0x887d6fccd1799778c1c613612d986f8f50f03a01,1660000000000000000000
0x6f2ac9cfdbcaee5e0bf8d20f77eaa80a940085b7,2895000000000000000000
0x3b10a9ab071d16646398c16d6d52009e637f24ed,845000000000000000000
0xb59b11cca93f7747dfa3376e4cb1cc63a08a972e,1170000000000000000000
0x633b553ea08809a4c8d4e741a7d82c34b3b99476,285000000000000000000
0xbcf4f4ecf7feb3ede1b6449796cba301adc69934,280000000000000000000
0x42bb0504ae7a43c5b987cbcfd13d0a10d30c8053,1000000000000000000000
0xf4d00bcec83a44bf2749d107a2e724de2f723859,645000000000000000000
0xdfb3092f749b8f458f87d30c1d17354082e1a1f6,820000000000000000000
0x01b4cd8b1ed251987a3242c09be6218c3889c582,690000000000000000000
0x3bbbb2dfe3390cdca13b572ae96aae67866390ac,880000000000000000000
0x7db14385819483bd58a8ab0dda767b9600f1b3d6,730000000000000000000
0x160027e31fc56520e6f76724f4c34b3041de4abd,2685000000000000000000
0x3eba243ecc820feb24c977f39107550af03a6090,1800000000000000000000
0x10c58fa9b0435dbd549c8d3c989da41e967ba508,1630000000000000000000
0x320d493bfd82538cb2021f26364a30b9497f8f4d,2950000000000000000000
0xffa88cf83c3f8d5fc4613e560b714a117e08564b,1495000000000000000000
0x5e40c045d8db94ad1d447de64db45cb05ceaddae,1830000000000000000000
0x064a6974b0394bfe8fde000c4ad8b13619cd66d4,745000000000000000000
0xfc2805c4c860bdbe442dcf9b21ad7249389b6893,2565000000000000000000
0x63f62728daf87bf166eb71b5e0be0155406f2cac,2640000000000000000000
0xe998c5cb80bbf7ec0d81a6cb0571d35b9312a67c,2830000000000000000000
0x942f35e4ec147a7383c89230729dfe9b7fc58639,3000000000000000000000
0x267c451ed5c9919c7fe0b393356deb54d980dc50,975000000000000000000
0x1f38178f6a64fa68fad55e0f5bc11eeb60011889,3120000000000000000000
0xa5be3fc9b2018be35d89d776cda120ecd19706a0,2580000000000000000000
0xb71df82bc1dbfc4a92bcd0ad055fadaaf48aeda9,2425000000000000000000
0x5e07f5c9b21abc2e9ba578401927fe161072b440,735000000000000000000
0x20665cdbc6f2e105872dfdc1a7d62ace8f8880c4,2515000000000000000000
0xfac637e2e1343248435bd4ebe3228fa384a2e15e,1440000000000000000000
0xd849231202f48138eaf1e784d2986cf1bf2a39fe,1920000000000000000000
0xc60a66f17b4087082c3c10c512b7513753d4ae95,2400000000000000000000
0xfdcbd53c581f8898dd42fa8112814c4252e8c561,2935000000000000000000
0x938c96724c035d8c61126fdfef0f2ba0fafa591c,660000000000000000000
0x6f05220d0592b51ed9fafc3f0c9e4e45681728e2,1620000000000000000000
0x908861983c92ff9c41cec2c1fa20012cae88ff04,625000000000000000000
0x9952ced77fc2777fc592276f178ea347b3edbff6,1945000000000000000000
0x78a4b525f6982bb417c67e029e480a23a7ccda4a,2410000000000000000000
0x59a7f087fd924308d205104ddd308433cf968356,2800000000000000000000
0xbbf56e24d6a456c41a5b8b89b0a27a36cfb1ea27,1665000000000000000000
0x06f007305f3779c87c3a5d210eb9898bcd797097,4650000000000000000000
