recipient,amountPPT18Dec,amount_deposited_of_USD,amountPPT
0x0EAb4316D2d3186c79ba68E0A92FA0E45a668A3E,"7,978,723,404,255,310,000,000.00","$1,500.00","7,978.72"
0x3d69e90A21cD32C6F218b5A35eC8903CceA64d24,"7,978,723,404,255,310,000,000.00","$1,500.00","7,978.72"
0xd4EcEc3e56EE7E0e566821A1868aD2177C711bD7,"4,867,021,276,595,740,000,000.00",$915.00,"4,867.02"
0x32bCF634b9D87F945E167349563cDb4c279026AC,"7,978,723,404,255,310,000,000.00","$1,500.00","7,978.72"
0x0D3fa8BD6AB0747154001de7e812D99b4dd8D23c,"7,978,723,404,255,310,000,000.00","$1,500.00","7,978.72"
0x2bf9f469aA1b7656cF2c8DCc088139803828d01d,"7,978,723,404,255,310,000,000.00","$1,500.00","7,978.72"
0x42ffa963150EC57A7229580Df289583fa8E23d2c,"7,978,723,404,255,310,000,000.00","$1,500.00","7,978.72"
0x42902566Da1b71bade8738D51678945677a76863,"7,978,723,404,255,310,000,000.00","$1,500.00","7,978.72"
0x2B77f750E9b0fb06c0b4A69B9eFBD3336C9F1c81,"7,978,723,404,255,310,000,000.00","$1,500.00","7,978.72"
0x5D30b845Fe50Afd135d5E16B4D2BD0DEF0b7815f,"7,978,723,404,255,310,000,000.00","$1,500.00","7,978.72"
0xac485CDb030f9d016F70E76Da5bBE6A576c8a16C,"7,978,723,404,255,310,000,000.00","$1,500.00","7,978.72"
0x12275C34751a2190674c9AB1833d93f8C8677a57,"7,978,723,404,255,310,000,000.00","$1,500.00","7,978.72"
0x2b7Ffd75Db5c9ab4444bcc856caBBb7Eae8AEAcb,"7,978,723,404,255,310,000,000.00","$1,500.00","7,978.72"
0x9d033ECE385d1775bC0533284235F1e165B6Cbfd,"7,978,723,404,255,310,000,000.00","$1,500.00","7,978.72"
0xeb49c7701942dbE12F193C1EE282235af76706F7,"537,234,042,553,191,000,000.00",$101.00,537.23
0x894c0EB2e3BC82332D5aD5aA1d065D81E7E38699,"2,659,574,468,085,100,000,000.00",$500.00,"2,659.57"
0xA04a58dC365E5c088e8212fEdDC1470d8003BcE7,"654,255,319,148,936,000,000.00",$123.00,654.26
0x6bC9945b9b48FF723144DDDb5C7914089876A5b3,"531,914,893,617,021,000,000.00",$100.00,531.91
0x039380aB0cd77F3D2dE6324cae60DdBdbf42DfcE,"542,553,191,489,361,000,000.00",$102.00,542.55
0x33c7f90FE366b0901C893408a3c7032D7456B409,"7,265,957,446,808,510,000,000.00","$1,366.00","7,265.96"
0x9766c6aB862b570bdb8270Aa5485e8b477903846,"6,755,319,148,936,170,000,000.00","$1,270.00","6,755.32"
0xBf24e5E3F67bD1a5b0C3B5662117850DcCb7DC39,"3,473,404,255,319,140,000,000.00",$653.00,"3,473.40"
0xf5C6B7d5e74F6017BD502770dBebe49CCeDeD8Ee,"7,781,914,893,617,020,000,000.00","$1,463.00","7,781.91"
